 tour |0| nb agent |0
 tour |1| nb agent |100
 tour |2| nb agent |104
 tour |3| nb agent |121
 tour |4| nb agent |151
 tour |5| nb agent |186
 tour |6| nb agent |225
 tour |7| nb agent |263
 tour |8| nb agent |300
 tour |9| nb agent |325
 tour |10| nb agent |337
 tour |11| nb agent |333
 tour |12| nb agent |317
 tour |13| nb agent |298
 tour |14| nb agent |270
 tour |15| nb agent |236
 tour |16| nb agent |203
 tour |17| nb agent |151
 tour |18| nb agent |136
 tour |19| nb agent |123
 tour |20| nb agent |114
 tour |21| nb agent |114
 tour |22| nb agent |107
 tour |23| nb agent |111
 tour |24| nb agent |114
 tour |25| nb agent |119
 tour |26| nb agent |124
 tour |27| nb agent |116
 tour |28| nb agent |117
 tour |29| nb agent |117
 tour |30| nb agent |115
 tour |31| nb agent |109
 tour |32| nb agent |102
 tour |33| nb agent |102
 tour |34| nb agent |104
 tour |35| nb agent |104
 tour |36| nb agent |104
 tour |37| nb agent |102
 tour |38| nb agent |94
 tour |39| nb agent |86
 tour |40| nb agent |74
 tour |41| nb agent |65
 tour |42| nb agent |50
 tour |43| nb agent |43
 tour |44| nb agent |40
 tour |45| nb agent |37
 tour |46| nb agent |37
 tour |47| nb agent |35
 tour |48| nb agent |35
 tour |49| nb agent |35
 tour |50| nb agent |35
 tour |51| nb agent |35
 tour |52| nb agent |32
 tour |53| nb agent |32
 tour |54| nb agent |31
 tour |55| nb agent |31
 tour |56| nb agent |31
 tour |57| nb agent |30
 tour |58| nb agent |30
 tour |59| nb agent |30
 tour |60| nb agent |30
 tour |61| nb agent |30
 tour |62| nb agent |30
 tour |63| nb agent |30
 tour |64| nb agent |30
 tour |65| nb agent |30
 tour |66| nb agent |30
 tour |67| nb agent |29
 tour |68| nb agent |30
 tour |69| nb agent |32
 tour |70| nb agent |33
 tour |71| nb agent |35
 tour |72| nb agent |37
 tour |73| nb agent |37
 tour |74| nb agent |37
 tour |75| nb agent |37
 tour |76| nb agent |38
 tour |77| nb agent |37
 tour |78| nb agent |39
 tour |79| nb agent |41
 tour |80| nb agent |42
 tour |81| nb agent |42
 tour |82| nb agent |42
 tour |83| nb agent |39
 tour |84| nb agent |35
 tour |85| nb agent |33
 tour |86| nb agent |30
 tour |87| nb agent |26
 tour |88| nb agent |26
 tour |89| nb agent |27
 tour |90| nb agent |30
 tour |91| nb agent |32
 tour |92| nb agent |33
 tour |93| nb agent |33
 tour |94| nb agent |34
 tour |95| nb agent |32
 tour |96| nb agent |29
 tour |97| nb agent |25
 tour |98| nb agent |23
 tour |99| nb agent |22
 tour |100| nb agent |21
 tour |101| nb agent |21
 tour |102| nb agent |21
 tour |103| nb agent |21
 tour |104| nb agent |20
 tour |105| nb agent |20
 tour |106| nb agent |20
 tour |107| nb agent |20
 tour |108| nb agent |20
 tour |109| nb agent |20
 tour |110| nb agent |20
 tour |111| nb agent |20
 tour |112| nb agent |20
 tour |113| nb agent |20
 tour |114| nb agent |20
 tour |115| nb agent |20
 tour |116| nb agent |20
 tour |117| nb agent |20
 tour |118| nb agent |20
 tour |119| nb agent |20
 tour |120| nb agent |20
 tour |121| nb agent |20
 tour |122| nb agent |19
 tour |123| nb agent |19
 tour |124| nb agent |19
 tour |125| nb agent |19
 tour |126| nb agent |19
 tour |127| nb agent |19
 tour |128| nb agent |19
 tour |129| nb agent |19
 tour |130| nb agent |19
 tour |131| nb agent |19
 tour |132| nb agent |17
 tour |133| nb agent |17
 tour |134| nb agent |17
 tour |135| nb agent |17
 tour |136| nb agent |17
 tour |137| nb agent |16
 tour |138| nb agent |16
 tour |139| nb agent |16
 tour |140| nb agent |16
 tour |141| nb agent |16
 tour |142| nb agent |15
 tour |143| nb agent |15
 tour |144| nb agent |15
 tour |145| nb agent |15
 tour |146| nb agent |15
 tour |147| nb agent |15
 tour |148| nb agent |15
 tour |149| nb agent |16
 tour |150| nb agent |17
 tour |151| nb agent |17
 tour |152| nb agent |16
 tour |153| nb agent |18
 tour |154| nb agent |18
 tour |155| nb agent |17
 tour |156| nb agent |16
 tour |157| nb agent |16
 tour |158| nb agent |16
 tour |159| nb agent |14
 tour |160| nb agent |14
 tour |161| nb agent |14
 tour |162| nb agent |14
 tour |163| nb agent |14
 tour |164| nb agent |16
 tour |165| nb agent |18
 tour |166| nb agent |20
 tour |167| nb agent |22
 tour |168| nb agent |24
 tour |169| nb agent |24
 tour |170| nb agent |23
 tour |171| nb agent |21
 tour |172| nb agent |18
 tour |173| nb agent |16
 tour |174| nb agent |15
 tour |175| nb agent |17
 tour |176| nb agent |17
 tour |177| nb agent |16
 tour |178| nb agent |16
 tour |179| nb agent |16
 tour |180| nb agent |15
 tour |181| nb agent |13
 tour |182| nb agent |11
 tour |183| nb agent |11
 tour |184| nb agent |11
 tour |185| nb agent |11
 tour |186| nb agent |11
 tour |187| nb agent |11
 tour |188| nb agent |11
 tour |189| nb agent |11
 tour |190| nb agent |11
 tour |191| nb agent |11
 tour |192| nb agent |11
 tour |193| nb agent |11
 tour |194| nb agent |11
 tour |195| nb agent |11
 tour |196| nb agent |11
 tour |197| nb agent |10
 tour |198| nb agent |10
 tour |199| nb agent |10
 tour |200| nb agent |10
 tour |201| nb agent |10
 tour |202| nb agent |10
 tour |203| nb agent |10
 tour |204| nb agent |10
 tour |205| nb agent |10
 tour |206| nb agent |10
 tour |207| nb agent |10
 tour |208| nb agent |10
 tour |209| nb agent |10
 tour |210| nb agent |10
 tour |211| nb agent |10
 tour |212| nb agent |9
 tour |213| nb agent |9
 tour |214| nb agent |9
 tour |215| nb agent |10
 tour |216| nb agent |12
 tour |217| nb agent |14
 tour |218| nb agent |17
 tour |219| nb agent |19
 tour |220| nb agent |21
 tour |221| nb agent |22
 tour |222| nb agent |22
 tour |223| nb agent |23
 tour |224| nb agent |24
 tour |225| nb agent |23
 tour |226| nb agent |23
 tour |227| nb agent |20
 tour |228| nb agent |18
 tour |229| nb agent |17
 tour |230| nb agent |15
 tour |231| nb agent |13
 tour |232| nb agent |12
 tour |233| nb agent |13
 tour |234| nb agent |13
 tour |235| nb agent |12
 tour |236| nb agent |11
 tour |237| nb agent |11
 tour |238| nb agent |11
 tour |239| nb agent |10
 tour |240| nb agent |10
 tour |241| nb agent |10
 tour |242| nb agent |10
 tour |243| nb agent |10
 tour |244| nb agent |10
 tour |245| nb agent |10
 tour |246| nb agent |10
 tour |247| nb agent |10
 tour |248| nb agent |10
 tour |249| nb agent |10
